faced, 1, 1, 524
falkland, 1, 1, 525
familiar, 1, 1, 526
family, 1, 1, 527
far, 1, 1, 528
favor, 1, 1, 529
felt, 1, 1, 530
fence, 1, 1, 531
fernandez, 1, 1, 532
fernando, 2, 2, 533
few, 1, 1, 535
fidel, 2, 2, 536
figure, 1, 1, 538
filed, 4, 2, 539
filing, 1, 1, 541
finished, 1, 1, 542
first, 3, 2, 543
five, 1, 1, 545
flag, 1, 1, 546
flimsy, 1, 1, 547
follow, 2, 2, 548
followed, 1, 1, 550
following, 1, 1, 551
force, 2, 2, 552
foreign, 7, 4, 554
forget, 1, 1, 558
formal, 1, 1, 559
formalize, 1, 1, 560
former, 10, 5, 561
forward, 1, 1, 566
frei, 5, 3, 567
frequently, 2, 2, 570
friday, 4, 3, 572
front, 2, 2, 575
fruit, 1, 1, 577
galtieri, 1, 1, 578
garce, 1, 1, 579
garcia, 3, 3, 580
garzon, 18, 3, 583
gathered, 1, 1, 586
gen, 5, 4, 587
general, 5, 2, 591
generally, 1, 1, 593
geneva, 1, 1, 594
genocidal, 1, 1, 595
genocide, 3, 2, 596
gently, 1, 1, 598
get, 1, 1, 599
getting, 1, 1, 600
ghastly, 1, 1, 601
given, 3, 2, 602
giving, 1, 1, 604
glady, 1, 1, 605
good, 1, 1, 606
governing, 2, 2, 607
government, 18, 6, 609
granted, 1, 1, 615
grave, 1, 1, 616
great, 1, 1, 617
group, 3, 2, 618
grow, 1, 1, 620
hampered, 1, 1, 621
handed, 2, 1, 622
handling, 2, 2, 623
happened, 2, 2, 625
happy, 1, 1, 627
harbor, 1, 1, 628
having, 1, 1, 629
he, 44, 6, 630
head, 1, 1, 636
health, 1, 1, 637
hearing, 3, 2, 638
heated, 1, 1, 640
held, 5, 3, 641
help, 1, 1, 644
henriquez, 1, 1, 645
here, 6, 3, 646
herniated, 2, 2, 649
hi, 27, 5, 651
high, 4, 2, 656
him, 12, 4, 658
hiriart, 1, 1, 662
hold, 1, 1, 663
home, 1, 1, 664
hospital, 3, 3, 665
hotel, 1, 1, 668
